ΚΩΔΙΚ. ΚΕΝ (*)	ΚΕΝ ΠΕΡΙΓΡΑΦΗ	 ΚΟΣΤΟΣ ΑΝΑ ΚΕΝ	ΜΔΝ (*)
Ο20Χ	Επεμβάσεις για οξείες και μείζονες Λοιμώξεις του οφθαλμού χωρίς συνυπάρχουσες παθήσεις- επιπλοκές	1.04 €	4
Ο21Μ	Νευρολογικές και αγγειακές δυσλειτουργίες του οφθαλμού με συνυπάρχουσες παθήσεις- επιπλοκές	934 €	5
Ο61Χ	Νευρολογικές και αγγειακές δυσλειτουργίες του οφθαλμού χωρίς συνυπάρχουσες παθήσεις- επιπλοκές	482 €	2
Ο22Α	Ύφαιμα και  ιατρική αντιμετώπιση τραυματισμών του οφθαλμού	327 €	2
Ο23Α	Λοιπές δυσλειτουργίες οφθαλμού	420 €	2
ΤΚΑ 03	Παθήσεις και δυσλειτουργίες του ΩΡΛ και Στόματος (Ω)		
Ω01Α	Κοχλιακά εμφυτεύματα	24.00 €	1
Ω02Μα	Επεμβάσεις κεφαλής και τραχήλου με καταστροφικές η σοβαρές συνυπάρχουσες παθήσεις	5.42 €	11
Ω02Μβ	Επεμβάσεις κεφαλής και τραχήλου με κακοήθεια ή μετριοπαθείς συνυπάρχουσες παθήσεις 	2.57 €	4
Ω02Χ	Επεμβάσεις κεφαλής και τραχήλου χωρίς κακοήθεια χωρίς μετριοπαθείς συνυπάρχουσες παθήσεις	1.61 €	2
Ω03Α	Χειρουργική διόρθωση ή επισκευή παθήσεων του λαγώχειλου ή λυκοστόματος 	1.28 €	2
Ω04Μ	Γναθοχειρουργική με συνυπάρχουσες παθήσεις-επιπλοκές 	3.13 €	4
Ω04Χ	Γναθοχειρουργική χωρίς συνυπάρχουσες παθήσεις-επιπλοκές 	1.93 €	2
Ω05Α	Επεμβάσεις της παρωτίδος	1.86 €	2
Ω06Α	Επεμβάσεις παραρηνίων κόλπων και σύνθετες επεμβάσεις μέσου ωτός 	1.13 €	1
Ω10Α	Επεμβάσεις ρινικές 	787 €	1
Ω11Α	Αμυγδαλεκτομές και / ή Αδενοηδεκτομές	526 €	1
Ω12Α	Άλλες επεμβάσεις του ΩΡΛ και στόματος	946 €	1
Ω13Α	Τυμπανοτωμή ( Μυριγγεκτομή )  με εισαγωγή σωλήνα	347 €	1
Ω14Α	Επεμβάσεις του στόματος και σιαλογόνων αδένων	740 €	2
Ω15Α	Επεμβάσεις μαστοειδούς	2.15 €	2
Ω20Α	Οδοντικές εξαγωγές και αποκαταστάσεις 	557 €	1
Ω30Μ	Κακοήθεια ΩΡΛ και στόματος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις	2.29 €	9
Ω30Χ	Κακοήθεια ΩΡΛ και στόματος με καταστροφικές χωρίς σοβαρές συνυπάρχουσες παθήσεις	545 €	2
Ω31Α	Ίλλιγγος	444 €	2
Ω32Α	Ρινορραγία	358 €	2
Ω33Α	Μέση ωτίτιδα και λοιμώξεις του ανώτερου αναπνευστικού	397 €	2
Ω34Α	Λαρυγγοτραχειίτιδα και επιγλωττίτις	288 €	1
Ω35Α	Ρινικό τραύμα και δυσμορφία	265 €	1
Ω36Μ	Άλλες διαγνώσεις του ΩΡΛ και στόματος με συνυπάρχουσες παθήσεις-επιπλοκές	957 €	4
Ω36Χ	Άλλες διαγνώσεις του ΩΡΛ και στόματος χωρίς συνυπάρχουσες παθήσεις-επιπλοκές	243 €	1
Ω37Α	"Στοματικές και οδοντικές διαταραχές εκτός από εξαγωγές και αποκαταστάσεις, την ίδια ημέρα"	254 €	1
Ω37Β	Στοματικές και οδοντικές διαταραχές εκτός από εξαγωγές και αποκαταστάσεις	661 €	3
ΤΚΑ 04	Παθήσεις και δυσλειτουργίες του αναπνευστικού συστήματος (Α)		
Α01Μ	Μείζονες επεμβάσεις θώρακος με καταστροφικές  συνυπάρχουσες παθήσεις- επιπλοκές	4.70 €	15
Α01Χ	Μείζονες επεμβάσεις θώρακος χωρίς καταστροφικές  συνυπάρχουσες παθήσεις- επιπλοκές	2.71 €	7
Α02Μα	Λοιπές χειρουργικές επεμβάσεις αναπνευστικού συστήματος με καταστροφικές  συνυπάρχουσες παθήσεις- επιπλοκές	3.92 €	16
Α02Μβ	Λοιπές χειρουργικές επεμβάσεις αναπνευστικού συστήματος με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις - επιπλοκές	1.60 €	5
Α02Χ	Λοιπές επεμβάσεις αναπνευστικού συστήματος χωρίς συνυπάρχουσες παθήσεις - επιπλοκές	683 €	1
Α10Μ	Νοσήματα αναπνευστικού συστήματος με μηχανική αναπνευστική υποστήριξη με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	6.04 €	12
Α10Χ	Νοσήματα αναπνευστικού συστήματος με μηχανική αναπνευστική υποστήριξη χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	4.63 €	8
Α11Χ	Νοσήματα αναπνευστικού συστήματος χωρίς επεμβατικό μηχανικό αερισμό	3.64 €	12
Α12Α	"Βρογχοσκόπηση, την ίδια ημέρα"	1.91 €	1
Α12Μ	Βρογχοσκόπηση με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	3.98 €	17
Α12Χ	Βρογχοσκόπηση χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	1.80 €	7
Α20Μ	Κυστική ίνωση με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	3.70 €	13
Α20Χ	Κυστική ίνωση χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	2.64 €	10
Α21Μ	Πνευμονική εμβολή με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	2.19 €	11
Α21Χ	Πνευμονική εμβολή χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	1.04 €	6
Α22Μα	Αναπνευστικές λοιμώξεις / φλεγμονές με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	1.94 €	10
Α22Μβ	Αναπνευστικές λοιμώξεις/ φλεγμονές με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις – επιπλοκές	1.14 €	6
Α22Χ	Αναπνευστικές λοιμώξεις/ φλεγμονές χωρίς συνυπάρχουσες παθήσεις – επιπλοκές	630 €	3
Α23Α	Σύνδρομο άπνοιας ύπνου	319 €	1
Α24Μ	Πνευμονικό οίδημα και αναπνευστική ανεπάρκεια με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	1.82 €	8
Α24Χ	Πνευμονικό οίδημα και αναπνευστική ανεπάρκεια χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	949 €	4
Α25Μ	Χρόνια αποφρακτική πνευμονοπάθεια με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	1.77 €	9
Α25Χ	Χρόνια αποφρακτική πνευμονοπάθεια χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	949 €	5
Α26Μα	Μείζον τραύμα Θώρακος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	2.47 €	12
Α26Μβ	Μείζον τραύμα Θώρακος με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις – επιπλοκές	1.18 €	5
Α26Χ	Μείζον τραύμα Θώρακος με συνυπάρχουσες παθήσεις - επιπλοκές	607 €	3
Α27Μ	Αναπνευστικά σημεία και συμπτώματα με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	864 €	4
Α27Χ	Αναπνευστικά σημεία και συμπτώματα χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	350 €	2
Α28Μ	Πνευμοθώρακας με συνυπάρχουσες παθήσεις - επιπλοκές	1.38 €	6
Α28Χ	Πνευμοθώρακας χωρίς συνυπάρχουσες παθήσεις - επιπλοκές	623 €	3
Α29Μ	Βρογχίτιδα και άσθμα με συνυπάρχουσες παθήσεις - επιπλοκές	872 €	4
Α29Χ	Βρογχίτιδα και άσθμα χωρίς συνυπάρχουσες παθήσεις - επιπλοκές	397 €	2
Α30Μ	Υλακώδης βήχας και οξεία βρογχιολίτιδα με συνυπάρχουσες παθήσεις - επιπλοκές	1.33 €	5
Α30Χ	Υλακώδης βήχας και οξεία βρογχιολίτιδα χωρίς συνυπάρχουσες παθήσεις - επιπλοκές	607 €	2
Α31Μ	Νεοπλάσματα αναπνευστικού με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	1.80 €	9
Α31Χ	Νεοπλάσματα αναπνευστικού χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	910 €	5
Α32Α	Αναπνευστικά προβλήματα αναδυόμενα από τη νεογνική περίοδο 	846 €	4
Α33Μα	Πλευριτική συλλογή με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	2.02 €	10
Α33Μβ	Πλευριτική συλλογή με σοβαρές ή μεσαίου βαρύτητας συνυπάρχουσες παθήσεις - επιπλοκές	1.04 €	5
Α33Χ	Πλευριτική συλλογή χωρίς συνυπάρχουσες παθήσεις - επιπλοκές	607 €	3
Α34Μα	Διάμεση πνευμονική νόσος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	1.98 €	10
Α34Μβ	Διάμεση πνευμονική νόσος με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις – επιπλοκές	1.39 €	7
Α34Χ	Διάμεση πνευμονική νόσος χωρίς συνυπάρχουσες παθήσεις - επιπλοκές	638 €	3
Α35Μα	Λοιπές διαγνώσεις αναπνευστικού συστήματος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	1.56 €	8
Α35Μβ	Λοιπές διαγνώσεις αναπνευστικού συστήματος με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις – επιπλοκές	973 €	5
Α35Χ	Λοιπές διαγνώσεις αναπνευστικού συστήματος χωρίς συνυπάρχουσες παθήσεις - επιπλοκές	475 €	2
Α36Α	Φυματίωση αναπνευστικού 	2.41 €	14
ΤΚΑ 05	Παθήσεις και δυσλειτουργίες κυκλοφορικού (Κ)		
Κ01Μ	"Τοποθέτηση  ή αντικατάσταση  εμφυτεύσιμου απινιδωτή, ολικό σύστημα με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές"	16.22 €	12
Κ01Χ	"Τοποθέτηση  ή αντικατάσταση  εμφυτεύσιμου απινιδωτή, ολικό σύστημα χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές "	12.42 €	3
Κ02Α	Άλλες επεμβάσεις επί εμφυτεύσιμου απινιδωτή	2.84 €	4
Κ03Μ	Επεμβάσεις σε καρδιακές βαλβίδες με εξωσωματική κυκλοφορία και με επεμβατικό καρδιακό καθετηριασμό με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές 	15.43 €	23
Κ03Χ	Επεμβάσεις σε καρδιακές βαλβίδες με εξωσωματική κυκλοφορία και με επεμβατικό καρδιακό καθετηριασμό χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές 	11.73 €	13
Κ04Μ	Επεμβάσεις σε καρδιακές βαλβίδες με εξωσωματική κυκλοφορία χωρίς επεμβατικό καρδιακό καθετηριασμό και με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές 	13.16 €	14
Κ04Χ	Επεμβάσεις σε καρδιακές βαλβίδες με εξωσωματική κυκλοφορία χωρίς επεμβατικό καρδιακό καθετηριασμό και χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές 	9.16 €	8
Κ05Μ	Αορτοστεφανιαία παράκαμψη με καρδιακό καθετηριασμό με επανεπέμβαση με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	10.02 €	18
Κ05Χ	Αορτοστεφανιαία παράκαμψη με καρδιακό καθετηριασμό χωρίς επανεπέμβαση χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	7.27 €	13
Κ06Μ	Αορτοστεφανιαία παράκαμψη χωρίς καρδιακό καθετηριασμό με επανεπέμβαση ή με καταστροφικές / σοβαρές συνυπάρχουσες παθήσεις-επιπλοκές	7.18 €	10
Κ06Χ	Αορτοστεφανιαία παράκαμψη χωρίς καρδιακό καθετηριασμό χωρίς επανεπέμβαση χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	5.08 €	7
Κ07Μα	Λοιπές κάρδιο-θώρακοχειρουργικές /αγγειοχειρουργικές επεμβάσεις με εξωσωματική κυκλοφορία με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές 	10.55 €	12
Κ07Μβ	Λοιπές κάρδιο-θώρακοχειρουργικές /αγγειοχειρουργικές επεμβάσεις με εξωσωματική κυκλοφορία με σοβαρές ή μετρίας βαρύτητας συνυπάρχουσες παθήσεις-επιπλοκές 	7.28 €	8
Κ07Χ	Λοιπές κάρδιο-θώρακοχειρουργικές /αγγειοχειρουργικές επεμβάσεις με εξωσωματική κυκλοφορία χωρίς συνυπάρχουσες παθήσεις-επιπλοκές 	5.35 €	7
Κ08Μ	Μείζονες επανορθωτικές επεμβάσεις αγγείων χωρίς εξωσωματική κυκλοφορία με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	8.96 €	16
Κ08Χ	Μείζονες επανορθωτικές επεμβάσεις αγγείων χωρίς εξωσωματική κυκλοφορία χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	5.56 €	7
